ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity IA Process Path Jams 5756,11111,IHN_LEVEL3_DESC,Alinity IA Process Path Jams 5756  
Alinity IA Process Path Jams 5756,11111,PROCPATHJAMS_THRESHOLD_AIMCODE,5756
Alinity IA Process Path Jams 5756,11111,PROCPATHJAMS_THRESHOLD_AIMSUBCODE,D298
Alinity IA Process Path Jams 5756,11111,PROCPATHJAMS_THRESHOLD_NUMRETRIES,8
Alinity IA Process Path Jams 5756,11111,PROCPATHJAMS_THRESHOLD_NUMRESULTS,10
Alinity IA Process Path Jams 5756,11111,THRESHOLDS_COUNT,1
Alinity IA Process Path Jams 5756,11111,THRESHOLD_DESCRIPTION,Alinity IA Process Path Jams 5756
Alinity IA Pretreat Path Jams 5756,11112,IHN_LEVEL3_DESC,Alinity IA Pretreat Path Jams 5756
Alinity IA Pretreat Path Jams 5756,11112,PROCPATHJAMS_THRESHOLD_AIMCODE,5756
Alinity IA Pretreat Path Jams 5756,11112,PROCPATHJAMS_THRESHOLD_AIMSUBCODE,D299
Alinity IA Pretreat Path Jams 5756,11112,PROCPATHJAMS_THRESHOLD_NUMRETRIES,8
Alinity IA Pretreat Path Jams 5756,11112,PROCPATHJAMS_THRESHOLD_NUMRESULTS,10
Alinity IA Pretreat Path Jams 5756,11112,THRESHOLDS_COUNT,1
Alinity IA Pretreat Path Jams 5756,11112,THRESHOLD_DESCRIPTION,Alinity IA Pretreat Path Jams 5756
